group,nest,percentage
C,7A,0
C,7B,0
C,7C,0
C,7D,0
C,7E,0
C,7F,0
C,7G,0
C,7H,0
C,7I,0
C,7J,0
T1,1A,40
T1,1B,60
T1,1C,80
T1,1D,60
T1,1E,40
T1,1F,20
T1,1G,40
T1,1H,40
T1,1I,40
T1,1J,40
T2,2A,0
T2,2B,0
T2,2C,0
T2,2D,0
T2,2E,0
T2,2F,0
T2,2G,0
T2,2H,0
T2,2I,0
T2,2J,0
T3,3A,40
T3,3B,20
T3,3C,20
T3,3D,60
T3,3E,20
T3,3F,80
T3,3G,20
T3,3H,20
T3,3I,60
T3,3J,40
T4,4A,80
T4,4B,80
T4,4C,60
T4,4D,100
T4,4E,60
T4,4F,60
T4,4G,60
T4,4H,40
T4,4I,40
T4,4J,60
T5,5A,80
T5,5B,60
T5,5C,60
T5,5D,60
T5,5E,80
T5,5F,80
T5,5G,60
T5,5H,60
T5,5I,40
T5,5J,20
T6,6A,20
T6,6B,60
T6,6C,100
T6,6D,80
T6,6E,80
T6,6F,60
T6,6G,80
T6,6H,40
T6,6I,80
T6,6J,60
